substance,interactant,niveau,description,conduite
RIFAMPICINE,NINTÉDANIB,PE,Diminution des concentrations plasmatiques du nintédanib par diminution de son absorption par la rifampicine.,Surveillance clinique pendant l'association.
RIFAMPICINE,OZANIMOD,AD,Diminution des concentrations des métabolites actifs de l'ozanimod d'environ 60%.,
RIFAMPICINE,PÉRAMPANEL,APEC,Diminution importante (jusqu'aux deux-tiers) des concentrations de pérampanel.,
RIFAMPICINE,POSACONAZOLE,AD,Diminution des concentrations plasmatiques et de l'efficacité des deux anti-infectieux (induction enzymatique par la rifampicine et diminution de l'absorption intestinale par l'azolé antifongique).,
RIFAMPICINE,PRAZIQUANTEL,CI,"Diminution très importante des concentrations plasmatiques du praziquantel, avec risque d'échec du traitement, par augmentation du métabolisme hépatique du praziquantel par la rifampicine.",
RIFAMPICINE,PROPAFENONE,PE,"Diminution des concentrations plasmatiques de la propafénone, par augmentation de son métabolisme hépatique par la rifampicine.","Surveillance clinique et ECG. S'il y a lieu, adaptation de la posologie de la propafénone pendant l'association et après l'arrêt de la rifampicine."
RIFAMPICINE,PROPRANOLOL,APEC,Diminution des concentrations plasmatiques et de l'efficacité du bêta-bloquant (augmentation de son métabolisme hépatique).,
RIFAMPICINE,QUETIAPINE,AD,"Diminution très importante des concentrations plasmatiques de quétiapine par augmentation de son métabolisme hépatique par l'inducteur, avec risque d'inefficacité.",
RIFAMPICINE,QUININE,AD,Risque de perte de l'efficacité de la quinine par augmentation de son métabolisme hépatique par l'inducteur.,
RIFAMPICINE,RALTÉGRAVIR,AD,Diminution des concentrations du raltégravir par la rifampicine.,"Si l'association ne peut être évitée, un doublement de la dose de raltégravir peut être envisagé."
RIFAMPICINE,RANOLAZINE,AD,Diminution très importante des concentrations de ranolazine.,
RIFAMPICINE,RIVAROXABAN,AD,"Diminution des concentrations plasmatiques de rivaroxaban, avec risque de diminution de l'effet thérapeutique.",
RIFAMPICINE,SACITUZUMAB,APEC,"Pour le SN38 lié au sacizutumab (govitécan) : risque de diminution de son exposition, par augmentation de son métabolisme.",
RIFAMPICINE,SIMVASTATINE,AD,"Diminution très importante des concentrations plasmatiques de simvastatine, par augmentation de son métabolisme hépatique par la rifampicine.",
RIFAMPICINE,SOTORASIB,AD,"Diminution notable des concentrations plasmatiques du sotorasib, avec risque de moindre efficacité.",
RIFAMPICINE,TELITHROMYCINE,AD,"Diminution très importante des concentrations plasmatiques de la télithromycine, avec risque d'échec du traitement anti-infectieux, par augmentation du métabolisme hépatique de la télithromycine par la rifampicine.",
RIFAMPICINE,TÉNOFOVIR ALAFÉNAMIDE,AD,Diminution des concentrations plasmatiques du ténofovir alafénamide par diminution de son absorption par la rifampicine.,Surveillance clinique pendant l'association et 1 à 2 semaines après l'arrêt de la rifampicine.
RIFAMPICINE,TERBINAFINE,PE,"Diminution des concentrations plasmatiques et de l'efficacité de la terbinafine, par augmentation de son métabolisme hépatique par la rifampicine.","Surveillance clinique. Si besoin, adaptation de la posologie de la terbinafine pendant le traitement par la rifampicine."
RIFAMPICINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",PE,Diminution des concentrations plasmatiques et de l'efficacité de la théophylline (augmentation de son métabolisme par induction enzymatique).,"Surveillance clinique et, si besoin, de la théophyllinémie. Adapter, s'il y a lieu, la posologie de la théophylline pendant le traitement par la rifampicine et après son arrêt."
RIFAMPICINE,TIAGABINE,PE,Diminution des concentrations plasmatiques de la tiagabine par augmentation de son métabolisme hépatique.,Une augmentation de la posologie de la tiagabine peut s'avérer nécessaire en cas d'association à la rifampicine.
RIFAMPICINE,TICAGRELOR,AD,"Diminution importante des concentrations plasmatiques de ticagrelor par augmentation de son métabolisme hépatique par la rifampicine, avec risque de diminution de l'effet thérapeutique.",
RIFAMPICINE,ULIPRISTAL,AD,"Risque de diminution de l'effet de l'ulipristal, par augmentation de son métabolisme hépatique par l'inducteur.",Préférer une alternative thérapeutique peu ou pas métabolisée.
RIFAMPICINE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",PE,"Risque de survenue de crises convulsives, par augmentation du métabolisme hépatique du valproate par la rifampicine.","Surveillance clinique et biologique, et adaptation éventuelle de la posologie de l'anticonvulsivant pendant le traitement par la rifampicine et après son arrêt."
RIFAMPICINE,VELPATASVIR,CI,"Diminution des concentrations plasmatiques de velpatasvir par la rifampicine, avec possible retentissement sur l'efficacité.",
RIFAMPICINE,VITAMINE D,PE,Diminution des concentrations de vitamine D plus marquée qu'en l'absence de traitement par la rifampicine,Dosage des concentrations de vitamine D et supplémentation si nécessaire.
RIFAMPICINE,VORICONAZOLE,CI,"Diminution importante des concentrations plasmatiques du voriconazole avec risque de perte d'efficacité, par augmentation de son métabolisme hépatique par la rifampicine.",
RIFAMPICINE,VOXELOTOR,AD,"Diminution notable des concentrations plasmatiques du voxelotor, avec risque de moindre efficacité.",
RIFAMPICINE,ZIDOVUDINE,AD,Diminution de moitié des concentrations de la zidovudine par augmentation de son métabolisme par la rifampicine.,"Si l'association s'avère nécessaire, surveillance clinique et biologique renforcée."
RIFAMPICINE,ZOLPIDEM,PE,Diminution des concentrations plasmatiques et de l'efficacité du zolpidem par augmentation de son métabolisme hépatique par la rifampicine.,Surveillance clinique. Utiliser éventuellement un autre hypnotique.
RIFAMPICINE,ZOPICLONE,PE,Diminution des concentrations plasmatiques et de l'efficacité de la zopiclone par augmentation de son métabolisme hépatique par la rifampicine.,Surveillance clinique. Utiliser éventuellement un autre hypnotique.
RILPIVIRINE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,APEC,Risque de diminution des concentrations plasmatiques de la rilpivirine.,"Si nécessaire, utiliser un antihistaminique H2 actif en une prise par jour, à prendre au moins 12 heures avant, ou au moins 4 heures après."
RILPIVIRINE,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,CI,Diminution des concentrations plasmatiques de rilpivirine par l'inhibiteur de la pompe à protons (absorption diminuée en raison de l'augmentation du pH gastrique).,
RILPIVIRINE,DEXAMETHASONE,CI,"Avec la dexaméthasone par voie systémique (sauf en cas de prise unique), risque de diminution des concentrations plasmatiques de rilpivirine par augmentation de son métabolisme hépatique par la dexamethasone.",
RILPIVIRINE,INDUCTEURS ENZYMATIQUES,CI,Diminution significative des concentrations plasmatiques de rilpivirine par augmentation de son métabolisme hépatique par l'inducteur.,
RILPIVIRINE,MILLEPERTUIS,CI,Risque de diminution des concentrations plasmatiques de rilpivirine par augmentation de son métabolisme hépatique par le millepertuis.,
RIOCIGUAT,DÉRIVÉS NITRÉS ET APPARENTÉS,CI,Risque d'hypotension importante (effet synergique).,
RIOCIGUAT,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,CI,Risque d'hypotension importante (effet synergique).,
RIOCIGUAT,INHIBITEURS PUISSANTS DU CYP3A4,AD,Augmentation des concentrations plasmatiques de riociguat par diminution de son métabolisme hépatique par l'inhibiteur.,
RISPERIDONE,CARBAMAZEPINE,PE,Risque de diminution de la fraction active de la rispéridone et de son efficacité thérapeutique par augmentation de son métabolisme hépatique par la carbamazépine.,"Surveillance clinique, et si besoin, adaptation posologique de la rispéridone."
RISPERIDONE,FLUOXETINE,PE,"Augmentation de la fraction active de la rispéridone par diminution de son métabolisme hépatique par la fluoxétine, avec risque de majoration des effets indésirables.","Surveillance clinique et, si besoin, adaptation posologique de la rispéridone."
RISPERIDONE,PAROXETINE,PE,"Augmentation de la fraction active de la rispéridone par diminution de son métabolisme hépatique par la paroxétine, avec risque de majoration des effets indésirables.","Surveillance clinique et, si besoin, adaptation posologique de la rispéridone."
RITONAVIR,CORTICOÏDES (VOIE INTRA-ARTICULAIRE),APEC,"Décrit chez des patients HIV. Risque d'insuffisance surrénale aiguë, même en cas d'injection unique. L'articulation peut constituer un réservoir relarguant de façon continue le corticoïde CYP3A4-dépendant dans la circulation générale, avec augmentation possiblement très importante des concentrations du corticoïde à l'origine d'une freination de la réponse hypothalamo-hypophysaire.",Préférer un corticoïde non CYP3A4-dépendant (hydrocortisone)
RITONAVIR,GLUCOCORTICOÏDES PAR VOIE INTRA-ARTICULAIRE ET MÉTABOLISÉS,PE,"Décrit chez des patients HIV. Risque d'insuffisance surrénale aiguë, même en cas d'injection unique. L'articulation peut constituer un réservoir relarguant de façon continue le corticoïde CYP3A4-dépendant dans la circulation générale, avec augmentation possiblement très importante des concentrations du corticoïde, à l'origine d'une freination de la réponse hypothalamo-hypophysaire.",Préférer un corticoïde non CYP3A4-dépendant (hydrocortisone).
RIVAROXABAN,FLUCONAZOLE,AD,"Augmentation des concentrations plasmatiques du rivaroxaban par le fluconazole, avec majoration du risque de saignement.",
RIVAROXABAN,INDUCTEURS ENZYMATIQUES PUISSANTS,AD,"Diminution des concentrations plasmatiques de rivaroxaban, avec risque de diminution de l'effet thérapeutique.",
RIVAROXABAN,INHIBITEURS PUISSANTS DU CYP3A4,AD,"Augmentation des concentrations plasmatiques de rivaroxaban, avec majoration du risque de saignement.",
RIVAROXABAN,RIFAMPICINE,AD,"Diminution des concentrations plasmatiques de rivaroxaban, avec risque de diminution de l'effet thérapeutique.",
ROLAPITANT,COLCHICINE,PE,"Risque d'augmentation des effets indésirables de la colchicine, aux conséquences potentiellement fatales.",Surveillance clinique et biologique étroite pendant l'association.
ROLAPITANT,DABIGATRAN,PE,Risque d'augmentation des concentrations plasmatiques du dabigatran par augmentation de son absorption intestinale par le rolapitant.,Surveillance clinique et biologique étroite pendant l'association.
ROLAPITANT,DIGOXINE,PE,Augmentation de la digoxinémie par majoration de son absorption.,Surveillance clinique et ECG pendant le traitement par le rolapitant et après son arrêt.
ROLAPITANT,INDUCTEURS ENZYMATIQUES,AD,Diminution très importante des concentrations de rolapitant avec risque de perte d'efficacité.,
ROLAPITANT,METOPROLOL,PE,"Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme hépatique par le rolapitant.","Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par le rolapitant."
ROLAPITANT,MILLEPERTUIS,CI,Diminution très importante des concentrations de rolapitant avec risque de perte d'efficacité.,
ROLAPITANT,PROPAFENONE,PE,"Augmentation des concentrations plasmatiques de propafénone avec risque de surdosage, par diminution de son métabolisme hépatique par le rolapitant.",Surveillance clinique et réduction de la posologie de la propafénone pendant le traitement par le rolapitant et après son arrêt.
ROLAPITANT,ROSUVASTATINE,PE,Risque d'augmentation des concentrations de rosuvastatine.,Utiliser la rosuvastatine à dose minimale.
ROLAPITANT,TAMOXIFENE,AD,Risque de baisse de l'efficacité du tamoxifène par inhibition de la formation de son métabollite actif par le rolapitant.,
ROPINIROLE,ANTIVITAMINES K,PE,Augmentation du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par ropinirole et après son arrêt.
ROPINIROLE,CIPROFLOXACINE,PE,"Augmentation des concentrations de ropinirole avec risque de surdosage, par diminution de son métabolisme hépatique par la ciprofloxacine.",Surveillance clinique et réduction éventuelle de la posologie du ropinirole pendant le traitement par la ciprofloxacine et après son arrêt.
ROPINIROLE,ENOXACINE,PE,Augmentation des concentrations plasmatiques de ropinirole avec signes de surdosage par diminution de son métabolisme hépatique.,Surveillance clinique et réduction de la posologie du ropinirole pendant le traitement par l'énoxacine et après son arrêt.
ROPINIROLE,FLUVOXAMINE,PE,"Augmentation des concentrations de ropinirole, avec risque de surdosage, par diminution de son métabolisme hépatique par la fluvoxamine.",Surveillance clinique et réduction de la posologie du ropinirole pendant le traitement par fluvoxamine et après son arrêt.
ROSUVASTATINE,CICLOSPORINE,CI,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, ou de néphrotoxicité, par diminution du métabolisme de la rosuvastatine.",
ROSUVASTATINE,DAROLUTAMIDE,AD,"Augmentation considérable (d'un facteur 5) des concentrations de rosuvastatine avec risque de rhabdomyolyse et/ou de néphrotoxicité, par augmentation de sa biodisponibilité.",
ROSUVASTATINE,FOSTAMATINIB,PE,Doublement moyen des concentrations plasmatiques de la rosuvastatine.,"Surveillance clinique et biologique, avec adaptation de la posologie de rosuvastatine si nécessaire."
ROSUVASTATINE,FOSTEMSAVIR,PE,Augmentation modérée des concentrations de rosuvastatine.,Débuter par la dose minimale de rosuvastatine. Surveillance clinique régulière.
ROSUVASTATINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,PE,Augmentation des concentrations plasmatiques de la rosuvastatine par augmentation de son absorption.,Surveillance clinique et biologique.
ROSUVASTATINE,PONATINIB,PE,Risque d'augmentation des concentrations plasmatiques de la rosuvastatine par augmentation de son absorption intestinale par le ponatinib.,Surveillance clinique et biologique étroite pendant l'association.
ROSUVASTATINE,ROLAPITANT,PE,Risque d'augmentation des concentrations de rosuvastatine.,Utiliser la rosuvastatine à dose minimale.
ROSUVASTATINE,TÉDIZOLIDE,AD,"Risque d'augmentation des concentrations plasmatiques de la rosuvastatine, par augmentation de son absorption avec le tédizolide administré par voie orale, ou par diminution de son élimination avec le tédizolide administré par voie IV.",
ROSUVASTATINE,VELPATASVIR,PE,Augmentation des concentrations plasmatiques de rosuvastatine par augmentation de son absorption intestinale par le velpatasvir.,"En cas d'association, ne pas dépasser 10 mg par jour de rosuvastatine."
ROXADUSTAT,CALCIUM,PE,"La prise de cation divalent peut diminuer l'absorption intestinale et, potentiellement, l'efficacité du roxadustat pris simultanément.","Prendre le roxadustat à distance des sels de calcium (plus de 1 heure, si possible)."
ROXADUSTAT,FER,PE,"La prise de cation divalent peut diminuer l'absorption intestinale et, potentiellement, l'efficacité du roxadustat pris simultanément.","Prendre le roxadustat à distance des sels de fer (plus de 1 heure, si possible)."
ROXADUSTAT,GEMFIBROZIL,PE,"Augmentation de l'exposition du roxadustat, par diminution de son métabolisme par le gemfibrozil.",Surveillance clinique et biologique (hémoglobine).
ROXADUSTAT,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),PE,"Augmentation d'un facteur 2 à 3 de l'exposition de la statine, par diminution de son métabolisme par le roxadustat.",Surveillance clinique et adaptation de la posologie de la statine pendant le traitement par roxadustat.
ROXADUSTAT,MAGNÉSIUM,PE,"La prise de cation divalent peut diminuer l'absorption intestinale et, potentiellement, l'efficacité du roxadustat pris simultanément.","Prendre le roxadustat à distance des sels de magnésium (plus de 1 heure, si possible)."
ROXADUSTAT,RÉSINES CHÉLATRICES,PE,"La prise de résine chélatrice peut diminuer l'absorption intestinale et, potentiellement, l'efficacité du roxadustat pris simultanément.","Prendre le roxadustat à distance de la résine (plus de 1 heure, si possible)."
ROXITHROMYCINE,ATORVASTATINE,PE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Utiliser des doses plus faibles d'hypocholestérolémiant.
ROXITHROMYCINE,CICLOSPORINE,PE,Risque d'augmentation des concentrations sanguines de ciclosporine et de la créatininémie.,"Dosage des concentrations sanguines de la ciclosporine, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après l'arrêt du macrolide."
ROXITHROMYCINE,MIDAZOLAM,APEC,Majoration légère de la sédation.,
ROXITHROMYCINE,SIMVASTATINE,PE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Utiliser des doses plus faibles d'hypocholestérolémiant.
ROXITHROMYCINE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,PE,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",Surveillance clinique et électrocardiographique pendant l'association.
ROXITHROMYCINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",APEC,"Risque d'augmentation de la théophyllinémie, particulièrement chez l'enfant.",
RUFINAMIDE,ESTROPROGESTATIFS CONTRACEPTIFS,PE,Diminution de l'efficacité contraceptive par augmentation du métabolisme hépatique du contraceptif hormonal par le rufinamide.,"Utiliser une méthode additionnelle de type mécanique (préservatif) pendant la durée de l'association, et un cycle suivant l'arrêt du rufinamide."
RUFINAMIDE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",PE,"Possible augmentation des concentrations de rufinamide, notamment chez l'enfant de moins de 30 kg.",Chez l'enfant de moins de 30 kg : ne pas dépasser la dose totale de 600 mg/j après la période de titration.
SACITUZUMAB,INDUCTEURS ENZYMATIQUES PUISSANTS,APEC,"Pour le SN38 lié au sacizutumab (govitécan) : risque de diminution de son exposition, par augmentation de son métabolisme.",
SACITUZUMAB,RIFAMPICINE,APEC,"Pour le SN38 lié au sacizutumab (govitécan) : risque de diminution de son exposition, par augmentation de son métabolisme.",
SACUBITRIL,INHIBITEURS DE L'ENZYME DE CONVERSION,CI,Augmentation du risque d'angioedème.,
SALMETEROL,ITRACONAZOLE,APEC,Augmentation importante des concentrations de salmétérol par diminution de son métabolisme hépatique par l'itraconazole.,
SALMETEROL,KETOCONAZOLE,APEC,Augmentation importante des concentrations de salmétérol par diminution de son métabolisme hépatique par le kétoconazole.,
SALMETEROL,OMBITASVIR + PARITAPRÉVIR,CI,Risque d'augmentation des concentrations de salmétérol.,
SELEXIPAG,CLOPIDOGREL,PE,Risque d'augmentation des effets indésirables du sélexipag par diminution de son métabolisme.,Surveillance clinique étroite pendant l'association. Réduire de moitié la posologie (une seule prise par jour).
SELEXIPAG,DEFERASIROX,PE,Risque d'augmentation des effets indésirables du sélexipag par diminution de son métabolisme.,Surveillance clinique étroite pendant l'association. Réduire de moitié la posologie (une seule prise par jour).
SELEXIPAG,GEMFIBROZIL,CI,Risque d'augmentation des effets indésirables du sélexipag par diminution de son métabolisme.,
SELEXIPAG,TÉRIFLUNOMIDE,PE,Risque d'augmentation des effets indésirables du sélexipag par diminution de son métabolisme.,Surveillance clinique étroite pendant l'association. Réduire de moitié la posologie (une seule prise par jour).
SELEXIPAG,TRIMETHOPRIME,PE,Risque d'augmentation des effets indésirables du sélexipag par diminution de son métabolisme.,Surveillance clinique étroite pendant l'association. Réduire de moitié la posologie (une seule prise par jour).
SELPERCATINIB,HORMONES THYROÏDIENNES,PE,Risque de moindre efficacité de la supplémentation en lévothyroxine par baisse de la conversion de T4 en T3 en cas de traitement par selpercatinib.,"Surveillance clinique et biologique, et adjonction éventuelle de liothyronine au traitement par la lévothyroxine."
SELPERCATINIB,REPAGLINIDE,AD,"Augmentation importante des concentrations plasmatiques de répaglinide, avec risque d'hypoglycémie, par diminution du métabolisme du répaglinide par le selpercatinib.",
SERTRALINE,INDUCTEURS ENZYMATIQUES,AD,Risque d'inefficacité du traitement antidépresseur.,
SERTRALINE,PAMPLEMOUSSE (JUS ET FRUIT),AD,Augmentation parfois importante des concentrations de l'antidépresseur chez certains patients par diminution de son métabolisme intestinal.,
SERTRALINE,PIMOZIDE,CI,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",
SÉTRONS,APOMORPHINE,CI,Des hypotensions sévères et des pertes de connaissance ont été rapportées lors de l'association d'un sétron avec l'apomorphine.,
SILDENAFIL,JOSAMYCINE,PE,"Augmentation des concentrations plasmatiques de sildénafil, avec risque d'hypotension.",Débuter le traitement par sildénafil à la dose minimale en cas d'association avec la josamycine.
SILDENAFIL,OMBITASVIR + PARITAPRÉVIR,CI,Augmentation des concentrations plasmatiques du sildénafil par diminution de son métabolisme hépatique par la bithérapie.,
SILODOSINE,INHIBITEURS PUISSANTS DU CYP3A4,AD,"Risque d'augmentation des effets indésirables de la silodosine par l'inhibiteur, notamment à type d'hypotension orthostatique.",
SIMVASTATINE,AMIODARONE,PE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de la simvastatine).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d'interaction.
SIMVASTATINE,AMLODIPINE,PE,Risque majoré d'effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'hypocholestérolémiant).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d'interaction.
SIMVASTATINE,APALUTAMIDE,AD,"Risque de diminution très importante des concentrations de la simvastatine, et perte d'efficacité, par augmentation de son métabolisme hépatique par l'apalutamide.",
SIMVASTATINE,AZITHROMYCINE,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d'hypocholestérolémiant ou une autre statine non concernée par ce type d'interaction.
SIMVASTATINE,CARBAMAZEPINE,AD,"Diminution importante des concentrations plasmatiques de simvastatine, par augmentation de son métabolisme hépatique.",
SIMVASTATINE,CICLOSPORINE,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par diminution du métabolisme de la simvastatine.,
SIMVASTATINE,DANAZOL,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par diminution du métabolisme de la simvastatine.,
SIMVASTATINE,DILTIAZEM,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.","Ne pas dépasser la posologie de 20 mg/jour de simvastatine. Si l'objectif thérapeutique n'est pas atteint à cette posologie, utiliser une autre statine non concernée par ce type d'interaction."
SIMVASTATINE,DRONEDARONE,AD,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de la simvastatine).,
SIMVASTATINE,FLUCONAZOLE,PE,Risque majoré d'effets indésirables concentration-dépendants à type de rhabdomyolyse (diminution du métabolisme hépatique de la simvastatine).,"Ne pas dépasser la posologie de 20 mg/j de simvastatine. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction."
SIMVASTATINE,GLÉCAPRÉVIR + PIBRENTASVIR,CI,"Augmentation importante des concentrations plasmatiques de simvastatine par la bithérapie, avec risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyses .",
SIMVASTATINE,INHIBITEURS PUISSANTS DU CYP3A4,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par diminution du métabolisme de la simvastatine.,
SIMVASTATINE,MILLEPERTUIS,AD,Diminution de l'efficacité de l'hypocholestérolémiant par augmentation de son métabolisme hépatique par le millepertuis.,
SIMVASTATINE,OMBITASVIR + PARITAPRÉVIR,CI,Augmentation des concentrations plasmatiques de la simvastatine par diminution de son métabolisme hépatique par la bithérapie.,
SIMVASTATINE,PAMPLEMOUSSE (JUS ET FRUIT),AD,"Augmentation considérable des concentrations plasmatiques de l'hypolipémiant, avec risque de survenue d'effets indésirables, notamment musculaires.",
SIMVASTATINE,PONATINIB,PE,Risque d'augmentation des concentrations plasmatiques de la simvastatine par augmentation de son absorption intestinale par le ponatinib.,Surveillance clinique et biologique étroite pendant l'association.
SIMVASTATINE,RANOLAZINE,PE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par inhibition du métabolisme de la simvastatine par la ranolazine.,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d'interaction.
SIMVASTATINE,RIFAMPICINE,AD,"Diminution très importante des concentrations plasmatiques de simvastatine, par augmentation de son métabolisme hépatique par la rifampicine.",
SIMVASTATINE,ROXITHROMYCINE,PE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Utiliser des doses plus faibles d'hypocholestérolémiant.
SIMVASTATINE,STIRIPENTOL,CI,Risque majoré d'effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'hypocholestérolémiant).,
SIMVASTATINE,VERAPAMIL,PE,Risque majoré d'effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'hypocholestérolémiant).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d'interaction.
SIROLIMUS,CICLOSPORINE,PE,Augmentation des concentrations sanguines de sirolimus par la ciclosporine. La néphrotoxicité de la ciclosporine est également augmentée lors de l'association.,"Il est recommandé d'administrer le sirolimus 4 heures après la ciclosporine. Contrôle de la fonction rénale, pendant l'association et après son arrêt."
SIROLIMUS,INHIBITEURS DE L'ENZYME DE CONVERSION,APEC,Majoration du risque d'angio-oedème.,
SIROLIMUS,OMBITASVIR + PARITAPRÉVIR,AD,En association avec le ritonavir : augmentation significative des concentrations de l'immunosuppresseur avec risque de majoration de sa toxicité par la bithérapie.,"Si l'association s'avère nécessaire, contrôle strict de la fonction rénale, dosage des concentrations sanguines de l'immunosuppresseur et adaptation éventuelle de la posologie."
SIROLIMUS,VERAPAMIL,PE,Augmentation des concentrations sanguines du sirolimus (diminution de son métabolisme hépatique par le vérapamil).,"Dosage des concentrations sanguines de l'immunosuppresseur, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après son arrêt."
SODIUM (BICARBONATE DE),LITHIUM,PE,Risque de baisse de l'efficacité du lithium par augmentation de son élimination rénale par les sels de sodium.,Eviter les surcharges sodées et tenir compte de la présence de sodium dans certains médicaments comme les antiacides.
SODIUM (CHLORURE DE),LITHIUM,PE,Risque de baisse de l'efficacité du lithium par augmentation de son élimination rénale par les sels de sodium.,Eviter les surcharges sodées et tenir compte de la présence de sodium dans certains médicaments comme les antiacides.
SOFOSBUVIR,AMIODARONE,AD,"Survenue de bradycardie éventuellement brutale, pouvant avoir des conséquences fatales.","Si l'association ne peut être évitée, surveillance clinique et ECG étroite, en particulier pendant les premières semaines de traitement. Une surveillance continue en milieu hospitalier est requise pendant les 48 heures qui suivent la co-adminsitration. Prendre en compte la longue demi-vie de l'amiodarone chez les patients l'ayant arrêtée au cours des derniers mois et qui doivent débuter un traitement contenant du sofosbuvir."
SOFOSBUVIR,MILLEPERTUIS,CI,Risque de diminution des concentrations plasmatiques de sofosbuvir par diminution de son absorption intestinale par le millepertuis.,
SORBITOL,LAMIVUDINE,AD,Diminution des concentrations plasmatiques de lamivudine par le sorbitol.,"Si l'association ne peut être évitée, surveillance plus fréquente de la charge virale."
SORBITOL,POLYSTYRÈNE SULFONATE DE CALCIUM,CI,"Par voie orale ou rectale du sorbitol ou de la résine, et pour une dose de sorbitol par prise >= 2,5 g chez l'enfant et 5 g chez l'adulte : Risque de nécrose colique, éventuellement fatale.",
SORBITOL,POLYSTYRÈNE SULFONATE DE SODIUM,CI,"Par voie orale ou rectale du sorbitol ou de la résine, et pour une dose de sorbitol par prise >= 2,5 g chez l'enfant et 5 g chez l'adulte : Risque de nécrose colique, éventuellement fatale.",
SOTORASIB,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,APEC,"Risque de diminution de l'effet du sotorasib, par diminution de son absorption.",
SOTORASIB,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,APEC,"Risque de diminution de l'effet du sotorasib, par diminution de son absorption.",
SOTORASIB,INDUCTEURS ENZYMATIQUES PUISSANTS,AD,"Diminution notable des concentrations plasmatiques du sotorasib, avec risque de moindre efficacité.",
SOTORASIB,RIFAMPICINE,AD,"Diminution notable des concentrations plasmatiques du sotorasib, avec risque de moindre efficacité.",
SPERMICIDES,MÉDICAMENTS UTILISÉS PAR VOIE VAGINALE,AD,Tout traitement local vaginal est susceptible d'inactiver une contraception locale spermicide.,
SPIRAMYCINE,LEVODOPA,PE,En cas d'association avec la carbidopa : inhibition de l'absorption de la carbidopa avec diminution des concentrations plasmatiques de la lévodopa.,Surveillance clinique et adaptation éventuelle de la posologie de la lévodopa.
